;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr20-nbStep10-2;nbChr200-nbStep100;nbChr40-nbStep100;nbChr40-nbStep100-5;nbChr40-nbStep100-6;nbChr100-nbStep200;nbChr100-nbStep200-8;nbChr100-nbStep200-9;nbChr100-nbStep200-10;nbChr100-nbStep200-11;nbChr100-nbStep200-12;nbChr100-nbStep200-13;nbChr100-nbStep200-14;nbChr100-nbStep200-15;nbChr100-nbStep200-16;nbChr100-nbStep200-67-17;nbChr100-nbStep200-66-18;nbChr100-nbStep200-67-19;nbChr100-nbStep200-69-20;nbChr100-nbStep200-68-21;nbChr100-nbStep200-66-22;nbChr100-nbStep200-67-23;nbChr100-nbStep200-67-24;nbChr100-nbStep200-65-25;nbChr100-nbStep200-71-26;nbChr100-nbStep200-68-27;nbChr100-nbStep200-65-28;nbChr100-nbStep200-68-29;nbChr100-nbStep200-62-30;nbChr100-nbStep200-64-31;nbChr100-nbStep200-64-32;nbChr100-nbStep200-66-33;nbChr100-nbStep200-68-34;nbChr100-nbStep200-64-35;nbChr100-nbStep200-67-36
propSumVoisins1_beta;-0.0910723323775;0.0;0.0;0.0;0.153867992691;0.0;0.0;0.0462905465671;0.0;0.27873055821;0.0;0.0945901238974;0.0;0.0;0.0;-0.186382833539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propSumVoisins1_delta;0.0;0.0;0.0;0.0;0.0;-0.513342290067;0.0;0.0;0.0;0.0;0.0;0.0;-0.0492794819659;0.299074651269;0.378784300907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propSumVoisins1_epsilon;0.0;0.0;0.0;-0.426701169037;0.0180431008638;0.0;0.0;0.0;-0.024953820338;0.478805043144;-0.0556513076026;0.0;0.0944726210717;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propSumVoisins1_gamma;0.0;0.0;0.231749290637;0.0;-0.183263215663;0.0;0.0;-0.164514521092;-0.723047496226;0.0;-0.728996578052;-0.786011988456;0.0;-0.4956252895;-0.758824369578;-0.322621173104;-0.0986588668168;-0.0193281702117;-0.663255715055;-0.375466664673;-0.221433449132;-0.840705089418;-0.244322904675;0.228418599488;-0.40528480026;-0.309489075584;-0.92724179967;0.0;-0.482829856019;-0.855670061268;0.0;0.0;-0.802863597343;0.0;-0.230179792498;-0.455733359053;-0.911479933461
propSumVoisins1_phi;0.129521907929;0.0;0.769482944188;0.565967477065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0881931755577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propVoisins1_alpha;0.0;0.0;-0.404856490185;0.0;0.0;0.0;0.0;0.0;0.0902184006469;0.0;0.0234784558232;0.00275215526008;-0.0561222376479;0.0666797703428;0.116707616415;-0.167154894947;0.0;0.0219699253089;-0.732383325134;0.0;0.0;0.0;0.0;0.0;0.0;0.145748008105;0.0;0.243011496399;0.0;0.0;0.0;0.0;0.130843514619;-0.191808032877;0.0;0.0387580494463;0.0
propVoisins1_beta;0.226049306879;0.0;0.0;0.0;0.0;-0.0645660026475;-0.248942552972;-0.0750310295138;0.0;0.0;0.0;0.0;0.0;0.010290782137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propVoisins1_delta;0.130437523591;-0.416409660395;0.0;0.134098580627;0.0;0.0825162814584;0.0;0.0;0.0;0.0;0.646549337846;0.0;-0.00299751598329;-0.411611774143;0.0;-0.258945497058;0.0506568210347;0.403849691584;0.0;0.0;0.0;0.255959010054;-0.0732443670618;0.430642630408;0.0481772741112;0.0521391104077;0.0;0.282701742152;0.529833503884;5.12081156777e-05;0.0;0.0;-0.0310156984215;0.660257176423;0.0;0.0;0.0
propVoisins1_epsilon;0.0486724888438;0.0;0.0;-0.00571656579097;-0.138327261159;0.327544587128;0.0;-0.04026092376;0.0221335144043;0.0;0.152287920704;0.0695585146411;0.342556512292;0.0462973606537;0.0;0.0;0.238150596984;0.0;0.360923152777;0.0;-0.482147660972;0.0;-0.42331344509;-0.111483128213;0.00898804796558;0.0;-0.080154716917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
propVoisins1_gamma;0.0;0.0;-0.101281048117;0.0;0.0;0.0;-0.315358753266;-0.00389321469818;0.0;-0.592634918492;-0.441445000921;-0.0268444417916;0.0168439187336;-0.0020874421167;0.0;-0.93806535227;-0.597113211382;0.0;-0.879036951189;-0.0226470939375;-0.0167591582294;-0.0822963247329;0.106105790664;-0.373784293519;0.0;0.0;0.0;-0.775653148968;0.0;-0.596829430157;0.0;-0.759693555713;-0.115011869757;0.0;0.0;0.128445724155;0.0
