;nbChr20-nbStep10;nbChr20-nbStep10-1;nbChr20-nbStep10-2;nbChr200-nbStep100;nbChr40-nbStep100;nbChr40-nbStep100-5;nbChr40-nbStep100-6;nbChr100-nbStep200;nbChr100-nbStep200-8;nbChr100-nbStep200-9;nbChr100-nbStep200-10;nbChr100-nbStep200-11;nbChr100-nbStep200-12;nbChr100-nbStep200-13;nbChr100-nbStep200-14;nbChr100-nbStep200-15;nbChr100-nbStep200-16;;;nb Zero Value;;moyenne;;;;;;;;;;;;;variance;variance relative;variance relative
propVoisins1_phi;0,095240151;0;0;-0,525178309;0;0;0;0;0;0;0;0;0;-0,054334276;0;-0,046088132;-0,117489355;;;70%;;0;;0;0;0;0;0;0;0,002952214;0;0,002124116;0,013803749;;0,043451212;4%;
size_alpha;0;0;0;0;-0,045208386;0;0;-0,268347035;0,152315715;-0,184899369;0,059064179;0,045517622;-0,35721774;0;0,168343642;0,053744458;0;;;20%;;-0,041434816;;0,051489155;0,037539268;0,020582078;0,010100048;0,007560726;0,099718855;0,001716844;0,044007002;0,009059094;0,001716844;;0,168371587;;406%
size_beta;0;0;0,000732945;0;0,24256698;-0,040031187;0;0,012802844;0;0;0;0;0;-0,192030082;0,395569653;-0,229106397;0,070757257;;;50%;;;;;;;;;;;;;;;;;
size_delta;0;0;0;0,048669017;0,137642457;0;0;0,043219178;0;0,125858247;0;-0,040607194;0,048402372;0,575021218;0;0;0,317335722;;;40%;;;;;;;;;;;;;;;;;
size_epsilon;-0,77108294;0;0;0;0;0;0;0;-0,015066531;-0,033469177;0;0,010213195;0;-0,023328213;0,045069943;0,027495819;0;;;40%;;;;;;;;;;;;;;;;;
size_gamma;0;0;0;0;0;-0,050520706;0;-0,061905619;-0,150121051;0;0;0;-0,095782509;-0,041083086;-0,072951568;-0,121608617;0;;;40%;;;;;;;;;;;;;;;;;
size_phi;0;0;0;0;0;0;0;-0,162148013;0;0;-0,053029356;-0,967492291;0;-0,129711383;0;0;0;;;60%;;;;;;;;;;;;;;;;;
sumVoisins1_alpha;0;0;0;0,796331691;0;0,269989208;0,027149576;0;0,003386765;0;0,052832241;0,666920737;0;-0,149512664;-0,058375008;0;0;;;50%;;;;;;;;;;;;;;;;;
sumVoisins1_beta;0;0;0;0,637102576;0,110020906;0,729820311;0;0,122052777;0;0;0,458915274;0,339241435;0,394112099;-0,053153252;0,652357229;0;0,096776566;;;30%;;;;;;;;;;;;;;;;;
sumVoisins1_delta;-0,045624489;0;0,449559012;-0,06331479;-0,268246101;0;0;-0,038050923;0,24238564;0;0,013167041;-0,532326256;0,106881646;0;-0,998417103;0,136965404;0;;;30%;;;;;;;;;;;;;;;;;
sumVoisins1_epsilon;0;0;0;0;0;0;-0,31541791;0,150746585;0,338948674;-0,010157909;0;0;-0,145105355;-0,221228426;0,305581829;0;0;;;40%;;;;;;;;;;;;;;;;;
sumVoisins1_gamma;0;0,417548482;-0,417664735;-0,549806112;0,010509015;-0,063605249;-0,505969802;0,047299336;0;0;0;0;-0,669906868;-0,213149729;-0,175083384;-0,719967993;0;;;50%;;;;;;;;;;;;;;;;;
sumVoisins1_phi;-0,332909461;0;-0,021477555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;100%;;0;;0;0;0;0;0;0;0;0;0;0;;0;0%;
sumVoisins_alpha;-0,370153743;0;0;0;0;0;0;0;0,029116346;0,209763314;-0,12224711;0;0;0;0;-0,153739831;0,135295325;;;50%;;;;;;;;;;;;;;;;;
sumVoisins_beta;0;-0,132118388;0;0;0;0;0,365215922;-0,021688243;0,299720741;0,196916036;0;0;0;-0,070042736;0;-0,306321693;0,172242789;;;40%;;;;;;;;;;;;;;;;;
sumVoisins_delta;0;0;0;-0,197353799;0,012614905;0;-0,325152525;-0,690925068;0,00611913;0;-0,304260498;0;-0,027367085;0;0;0,004338388;0;;;50%;;;;;;;;;;;;;;;;;
sumVoisins_epsilon;0;0;0;0;0,189904487;-0,926095713;-0,00417278;-0,002865604;0,217906035;0;0,036845065;0;0,045067089;-0,036774139;0;0;0,329282059;;;40%;;;;;;;;;;;;;;;;;
sumVoisins_gamma;-0,035002747;0;0;0;0;0;0;-0,026551874;0,574395399;-0,004493156;0,081316063;0;0;0,427498559;0,196410432;-0,20158527;0,041172351;;;20%;;0,136020313;;0,026429716;0,192172716;0,019744035;0,002992555;0,018501526;0,018501526;0,084959568;0,003646966;0,11397753;0,008996136;;0,221341879;;163%
sumVoisins_phi;0;0;0;0;0;0;-0,979429468;-0,897973034;-0,760494729;-0,980062414;-0,527086482;-0,348528934;-0,366393071;-0,237291098;-0,284043234;0;-0,703215041;;;10%;;-0,567232004;;0,109389629;0,037350481;0,170428948;0,001611663;0,047831033;0,040336277;0,108861002;0,08019588;0,321752147;0,018491386;;0,305981771;;54%
