;Y;nbVoisins;nbVoisins1;propSumVoisins1;propVoisins1;size;sumVoisins;sumVoisins1
1;True;1030.0;21.0;0.128065157392;0.0203883495146;229481.073398;37271246.6508;4773148.06853
2;True;2980.0;20.0;0.0995989992128;0.00671140939597;309530.802823;47844694.1659;4765283.65657
3;True;3981.0;20.0;0.0974173750644;0.00502386335092;1021401.22823;48916157.4454;4765283.65657
4;False;2701.0;20.0;0.101109261329;0.00740466493891;292089.714359;47130041.2438;4765283.65657
5;False;1667.0;20.0;0.111539363028;0.0119976004799;326241.02396;42792733.1063;4773074.19289
6;False;1599.0;20.0;0.110154872493;0.0125078173859;58809.7187836;43330577.0765;4773074.19289
7;False;2905.0;20.0;0.0993676709113;0.00688468158348;784553.328708;47956076.789;4765283.65657
8;True;1941.0;20.0;0.112543548212;0.0103039670273;392787.814281;42410909.099;4773074.19289
9;False;737.0;20.0;0.136602529626;0.0271370420624;54359.9783399;34941330.9252;4773074.19289
10;True;1718.0;20.0;0.111920762797;0.011641443539;511474.73728;42646905.4859;4773074.19289
11;True;2746.0;20.0;0.0993411240661;0.00728332119446;268941.753664;48047314.1185;4773074.19289
12;True;483.0;20.0;0.162139427613;0.0414078674948;47693.7777399;29438084.6359;4773074.19289
13;True;4794.0;20.0;0.0962055898934;0.00417188151856;791363.532286;49532294.9722;4765283.65657
14;False;2173.0;20.0;0.102786469837;0.00920386562356;146393.802516;46361001.2499;4765283.65657
15;False;838.0;19.0;0.129180196295;0.0226730310263;8518.60069467;36855813.4117;4761041.21112
16;False;407.0;19.0;0.177232159873;0.046683046683;27619.6351245;26886823.3867;4765209.78094
17;True;222.0;19.0;0.202769422581;0.0855855855856;19259.8738444;23500632.9864;4765209.78094
18;False;622.0;19.0;0.138289409415;0.0305466237942;110885.383051;34458240.8812;4765209.78094
19;False;1828.0;19.0;0.111923345246;0.0103938730853;94664.9886292;42575655.4225;4765209.78094
20;False;3370.0;19.0;0.0992022519512;0.00563798219585;733585.341063;47937270.0308;4755485.13944
21;False;1729.0;19.0;0.108294447185;0.010989010989;34861.1650224;44002346.4249;4765209.78094
22;True;743.0;19.0;0.144919266593;0.0255720053836;108393.540591;32868477.6549;4763275.67577
23;True;775.0;19.0;0.13229229648;0.0245161290323;36038.501065;36020311.8982;4765209.78094
24;False;1263.0;19.0;0.12318921914;0.0150435471101;101965.317976;38682035.7673;4765209.78094
25;True;1538.0;19.0;0.11611193276;0.0123537061118;79455.2985533;41039793.8235;4765209.78094
26;True;491.0;19.0;0.160595931509;0.0386965376782;38717.3288466;29672045.4632;4765209.78094
27;False;2708.0;19.0;0.101404654263;0.00701624815362;353977.993403;46896123.0035;4755485.13944
28;False;132.0;19.0;0.325838585821;0.143939393939;938.300030562;14624449.0011;4765209.78094
29;True;665.0;19.0;0.137655073029;0.0285714285714;34616.1164721;34617029.9147;4765209.78094
30;False;2219.0;19.0;0.105382273496;0.00856241550248;176373.775627;45218323.9445;4765209.78094
31;False;106.0;19.0;0.28779528798;0.179245283019;3014.57158836;16557636.5561;4765209.78094
32;False;2240.0;19.0;0.102703910177;0.00848214285714;154868.596715;46397549.7403;4765209.78094
33;True;497.0;19.0;0.155033714411;0.0382293762575;44190.2096118;30736603.3191;4765209.78094
34;False;237.0;19.0;0.189456977614;0.0801687763713;3444.62058665;25151936.0277;4765209.78094
35;False;395.0;19.0;0.176948290169;0.0481012658228;4253.4955081;26929956.6353;4765209.78094
36;False;851.0;19.0;0.128866955084;0.0223266745006;37231.9313351;36977747.9248;4765209.78094
37;False;916.0;19.0;0.136330873069;0.0207423580786;61405.903432;34953269.7448;4765209.78094
38;True;753.0;19.0;0.135490766638;0.0252324037185;153905.292985;35169996.4446;4765209.78094
39;False;1576.0;19.0;0.108801887046;0.0120558375635;36171.3163655;43707745.0454;4755485.13944
40;False;192.0;19.0;0.234830214462;0.0989583333333;5055.75374883;20292149.338;4765209.78094
41;True;573.0;19.0;0.150784608639;0.0331588132635;31082.1473623;31602759.8834;4765209.78094
42;False;3503.0;19.0;0.0973951511446;0.00542392235227;438036.886804;48826713.4817;4755485.13944
43;False;253.0;19.0;0.212128607577;0.0750988142292;1094.5948898;22463777.2122;4765209.78094
44;False;560.0;19.0;0.144632874452;0.0339285714286;172083.530422;32879697.3541;4755485.13944
45;True;339.0;19.0;0.169112430702;0.0560471976401;10767.902834;28177761.7479;4765209.78094
46;False;315.0;19.0;0.194301683925;0.0603174603175;25568.4717745;24524799.1921;4765209.78094
47;False;2230.0;19.0;0.106107592475;0.0085201793722;88387.7895299;44909225.3416;4765209.78094
48;False;2014.0;19.0;0.107120630727;0.00943396226415;181093.88393;44484519.4486;4765209.78094
49;False;2322.0;18.0;0.099835796104;0.0077519379845;164041.435075;45636081.3058;4556114.50824
50;False;209.0;18.0;0.25859442741;0.0861244019139;479.084518353;18380816.8133;4753176.79917
51;False;4794.0;42.0;0.0585907255867;0.00876095118899;791363.532286;49532294.9722;2902133.10239
52;True;2322.0;42.0;0.0633853503543;0.0180878552972;164041.435075;45636081.3058;2892659.00237
53;True;3360.0;40.0;0.0591512050832;0.0119047619048;396810.908353;49148008.8489;2907163.95085
54;False;2587.0;39.0;0.0613770135052;0.0150753768844;318176.316685;47182800.5607;2895939.38723
55;True;2380.0;38.0;0.0639355278505;0.0159663865546;269104.083477;45258128.8076;2893602.35484
56;False;2219.0;38.0;0.064061006443;0.017124831005;176373.775627;45218323.9445;2896731.34155
57;True;778.0;37.0;0.0849389759344;0.047557840617;59577.6086048;34129601.9342;2898933.43734
